No;Corridor ID;Building ID;X;Y;Z;Latitude;Longitude;Roofed
1;CD1_1;IF1;;;;"6°58'32.42""S";"107°37'50.32""E";
2;CD1_2;IF1;;;;"6°58'32.58""S";"107°37'50.32""E";
3;CD1_3;IF1;;;;"6°58'32.78""S";"107°37'50.32""E";
4;CD1_4;IF1;;;;"6°58'32.92""S";"107°37'50.33""E";
5;CD1_5;IF1;;;;"6°58'32.99""S";"107°37'50.33""E";
6;CD1_6;IF1;;;;"6°58'33.06""S";"107°37'50.33""E";
7;CD1_7;IF1;;;;"6°58'33.19""S";"107°37'50.33""E";
8;CD1_8;IF1;;;;"6°58'33.41""S";"107°37'50.34""E";
9;CD1_9;IF1;;;;"6°58'33.58""S";"107°37'50.34""E";
10;CD2_1;IF1;;;;"6°58'32.42""S";"107°37'50.32""E";
11;CD2_2;IF1;;;;"6°58'32.58""S";"107°37'50.32""E";
12;CD2_3;IF1;;;;"6°58'32.78""S";"107°37'50.32""E";
13;CD2_4;IF1;;;;"6°58'32.92""S";"107°37'50.33""E";
14;CD2_5;IF1;;;;"6°58'33.06""S";"107°37'50.33""E";
15;CD2_6;IF1;;;;"6°58'33.19""S";"107°37'50.33""E";
16;CD2_7;IF1;;;;"6°58'33.41""S";"107°37'50.34""E";
17;CD2_8;IF1;;;;"6°58'33.58""S";"107°37'50.34""E";
18;CD3_1;IF1;;;;"6°58'32.42""S";"107°37'50.32""E";
19;CD3_2;IF1;;;;"6°58'32.58""S";"107°37'50.32""E";
20;CD3_3;IF1;;;;"6°58'32.78""S";"107°37'50.32""E";
21;CD3_4;IF1;;;;"6°58'32.92""S";"107°37'50.33""E";
22;CD3_5;IF1;;;;"6°58'33.06""S";"107°37'50.33""E";
23;CD3_6;IF1;;;;"6°58'33.19""S";"107°37'50.33""E";
24;CD3_7;IF1;;;;"6°58'33.41""S";"107°37'50.34""E";
25;CD3_8;IF1;;;;"6°58'33.58""S";"107°37'50.34""E";
